study_accession	sample_accession	secondary_sample_accession	sample_alias	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	library_source	library_selection	read_count	base_count	experiment_title	fastq_ftp
PRJEB634	SAMEA1712258	ERS188336	1012722-sc-2012-11-09T12:23:06Z-1500272	ERX209752	ERR235247	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2173924	434784800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235247/ERR235247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235247/ERR235247_2.fastq.gz
PRJEB634	SAMEA1712245	ERS188337	1015522-sc-2012-11-09T12:23:07Z-1500273	ERX209753	ERR235248	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2840194	568038800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235248/ERR235248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235248/ERR235248_2.fastq.gz
PRJEB634	SAMEA1712265	ERS188338	55858-sc-2012-11-09T12:23:08Z-1500274	ERX209754	ERR235249	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	4018911	803782200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235249/ERR235249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235249/ERR235249_2.fastq.gz
PRJEB634	SAMEA1712470	ERS188339	D37283-sc-2012-11-09T12:23:09Z-1500275	ERX209755	ERR235250	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	4566775	913355000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235250/ERR235250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235250/ERR235250_2.fastq.gz
PRJEB634	SAMEA1712465	ERS188340	1021038-sc-2012-11-09T12:23:09Z-1500276	ERX209756	ERR235251	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2662614	532522800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235251/ERR235251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235251/ERR235251_2.fastq.gz
PRJEB634	SAMEA1712468	ERS188341	BID1B1-sc-2012-11-09T12:23:11Z-1500277	ERX209757	ERR235252	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2744907	548981400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235252/ERR235252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235252/ERR235252_2.fastq.gz
PRJEB634	SAMEA1712409	ERS188342	BFX11Q-sc-2012-11-09T12:23:12Z-1500278	ERX209758	ERR235253	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2067440	413488000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235253/ERR235253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235253/ERR235253_2.fastq.gz
PRJEB634	SAMEA1712435	ERS188343	1003482-sc-2012-11-09T12:23:12Z-1500279	ERX209759	ERR235254	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2555963	511192600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235254/ERR235254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235254/ERR235254_2.fastq.gz
PRJEB634	SAMEA1712359	ERS188344	1012757-sc-2012-11-09T12:23:13Z-1500280	ERX209760	ERR235255	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1581931	316386200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235255/ERR235255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235255/ERR235255_2.fastq.gz
PRJEB634	SAMEA1712374	ERS188345	1015794-sc-2012-11-09T12:23:14Z-1500281	ERX209761	ERR235256	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2136911	427382200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235256/ERR235256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235256/ERR235256_2.fastq.gz
PRJEB634	SAMEA1712330	ERS188346	A58764-sc-2012-11-09T12:23:15Z-1500282	ERX209762	ERR235257	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3078377	615675400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235257/ERR235257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235257/ERR235257_2.fastq.gz
PRJEB634	SAMEA1712349	ERS188347	A40130-sc-2012-11-09T12:23:16Z-1500283	ERX209763	ERR235258	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2292845	458569000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235258/ERR235258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235258/ERR235258_2.fastq.gz
PRJEB634	SAMEA1712333	ERS188348	1021241-sc-2012-11-09T12:23:17Z-1500284	ERX209764	ERR235259	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2211860	442372000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235259/ERR235259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235259/ERR235259_2.fastq.gz
PRJEB634	SAMEA1712286	ERS188349	1030118-sc-2012-11-09T12:23:18Z-1500285	ERX209765	ERR235260	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2241252	448250400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235260/ERR235260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235260/ERR235260_2.fastq.gz
PRJEB634	SAMEA1712261	ERS188350	1029260-sc-2012-11-09T12:23:18Z-1500286	ERX209766	ERR235261	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1920204	384040800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235261/ERR235261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235261/ERR235261_2.fastq.gz
PRJEB634	SAMEA1712233	ERS188351	1005918-sc-2012-11-09T12:23:19Z-1500287	ERX209767	ERR235262	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3184940	636988000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235262/ERR235262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235262/ERR235262_2.fastq.gz
PRJEB634	SAMEA1712231	ERS188352	1012776-sc-2012-11-09T12:23:21Z-1500288	ERX209768	ERR235263	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	429115	85823000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235263/ERR235263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235263/ERR235263_2.fastq.gz
PRJEB634	SAMEA1712212	ERS188353	101934-sc-2012-11-09T12:23:22Z-1500289	ERX209769	ERR235264	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	4000540	800108000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235264/ERR235264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235264/ERR235264_2.fastq.gz
PRJEB634	SAMEA1712357	ERS188354	A53420-sc-2012-11-09T12:23:22Z-1500290	ERX209770	ERR235265	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2247302	449460400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235265/ERR235265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235265/ERR235265_2.fastq.gz
PRJEB634	SAMEA1712384	ERS188355	A43141-sc-2012-11-09T12:23:24Z-1500291	ERX209771	ERR235266	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2297765	459553000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235266/ERR235266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235266/ERR235266_2.fastq.gz
PRJEB634	SAMEA1712416	ERS188356	BID1AQ-sc-2012-11-09T12:23:24Z-1500292	ERX209772	ERR235267	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1665814	333162800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235267/ERR235267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235267/ERR235267_2.fastq.gz
PRJEB634	SAMEA1712427	ERS188357	BIQ11N-sc-2012-11-09T12:23:25Z-1500293	ERX209773	ERR235268	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2365301	473060200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235268/ERR235268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235268/ERR235268_2.fastq.gz
PRJEB634	SAMEA1712457	ERS188358	BIQ11F-sc-2012-11-09T12:23:26Z-1500294	ERX209774	ERR235269	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1837943	367588600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235269/ERR235269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235269/ERR235269_2.fastq.gz
PRJEB634	SAMEA1712445	ERS188359	1008185-sc-2012-11-09T12:23:27Z-1500295	ERX209775	ERR235270	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1769821	353964200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235270/ERR235270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235270/ERR235270_2.fastq.gz
PRJEB634	SAMEA1712490	ERS188360	1012683-sc-2012-11-09T12:23:28Z-1500296	ERX209776	ERR235271	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1966822	393364400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235271/ERR235271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235271/ERR235271_2.fastq.gz
PRJEB634	SAMEA1712230	ERS188361	BIDIB-sc-2012-11-09T12:23:29Z-1500297	ERX209777	ERR235272	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2220035	444007000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235272/ERR235272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235272/ERR235272_2.fastq.gz
PRJEB634	SAMEA1712207	ERS188362	C20217-sc-2012-11-09T12:23:30Z-1500298	ERX209778	ERR235273	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2076821	415364200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235273/ERR235273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235273/ERR235273_2.fastq.gz
PRJEB634	SAMEA1712221	ERS188363	D40691-sc-2012-11-09T12:23:31Z-1500299	ERX209779	ERR235274	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1806610	361322000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235274/ERR235274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235274/ERR235274_2.fastq.gz
PRJEB634	SAMEA1712275	ERS188364	BFL119-sc-2012-11-09T12:23:32Z-1500300	ERX209780	ERR235275	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1934852	386970400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235275/ERR235275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235275/ERR235275_2.fastq.gz
PRJEB634	SAMEA1712254	ERS188365	BIQ122-sc-2012-11-09T12:23:33Z-1500301	ERX209781	ERR235276	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3155855	631171000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235276/ERR235276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235276/ERR235276_2.fastq.gz
PRJEB634	SAMEA1712301	ERS188366	BIQ15A-sc-2012-11-09T12:23:34Z-1500302	ERX209782	ERR235277	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2112604	422520800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235277/ERR235277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235277/ERR235277_2.fastq.gz
PRJEB634	SAMEA1712280	ERS188367	1008645-sc-2012-11-09T12:23:34Z-1500303	ERX209783	ERR235278	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1927516	385503200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235278/ERR235278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235278/ERR235278_2.fastq.gz
PRJEB634	SAMEA1712339	ERS188368	1012682-sc-2012-11-09T12:23:35Z-1500304	ERX209784	ERR235279	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2199109	439821800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235279/ERR235279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235279/ERR235279_2.fastq.gz
PRJEB634	SAMEA1712319	ERS188369	BID11B-sc-2012-11-09T12:23:37Z-1500305	ERX209785	ERR235280	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2377125	475425000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235280/ERR235280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235280/ERR235280_2.fastq.gz
PRJEB634	SAMEA1712392	ERS188370	A54137-sc-2012-11-09T12:23:38Z-1500306	ERX209786	ERR235281	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2230119	446023800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235281/ERR235281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235281/ERR235281_2.fastq.gz
PRJEB634	SAMEA1712381	ERS188371	D40365-sc-2012-11-09T12:23:38Z-1500307	ERX209787	ERR235282	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1774779	354955800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235282/ERR235282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235282/ERR235282_2.fastq.gz
PRJEB634	SAMEA1712361	ERS188372	1021027-sc-2012-11-09T12:23:39Z-1500308	ERX209788	ERR235283	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1997722	399544400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235283/ERR235283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235283/ERR235283_2.fastq.gz
PRJEB634	SAMEA1712506	ERS188373	1031583-sc-2012-11-09T12:23:40Z-1500309	ERX209789	ERR235284	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1848735	369747000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235284/ERR235284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235284/ERR235284_2.fastq.gz
PRJEB634	SAMEA1712501	ERS188374	A56884-sc-2012-11-09T12:23:41Z-1500310	ERX209790	ERR235285	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1918697	383739400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235285/ERR235285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235285/ERR235285_2.fastq.gz
PRJEB634	SAMEA1712461	ERS188376	1012692-sc-2012-11-09T12:23:43Z-1500312	ERX209791	ERR235286	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2873966	574793200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235286/ERR235286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235286/ERR235286_2.fastq.gz
PRJEB634	SAMEA1712458	ERS188377	BID11P-sc-2012-11-09T12:23:44Z-1500313	ERX209792	ERR235287	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1989921	397984200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235287/ERR235287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235287/ERR235287_2.fastq.gz
PRJEB634	SAMEA1712263	ERS188378	D51472-sc-2012-11-09T12:23:45Z-1500314	ERX209793	ERR235288	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1767570	353514000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235288/ERR235288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235288/ERR235288_2.fastq.gz
PRJEB634	SAMEA1712251	ERS188379	A44767-sc-2012-11-09T12:23:46Z-1500315	ERX209794	ERR235289	Salmonella enterica subsp. enterica serovar Typhimurium	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2340047	468009400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235289/ERR235289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235289/ERR235289_2.fastq.gz
PRJEB634	SAMEA1712475	ERS188380	31353-sc-2012-11-09T12:23:47Z-1500316	ERX209795	ERR235290	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1697589	339517800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235290/ERR235290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235290/ERR235290_2.fastq.gz
PRJEB634	SAMEA1712373	ERS188381	32363-sc-2012-11-09T12:23:48Z-1500317	ERX209796	ERR235291	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2002881	400576200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235291/ERR235291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235291/ERR235291_2.fastq.gz
PRJEB634	SAMEA1712363	ERS188382	32013-sc-2012-11-09T12:23:48Z-1500318	ERX209797	ERR235292	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1283570	256714000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235292/ERR235292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235292/ERR235292_2.fastq.gz
PRJEB634	SAMEA1712433	ERS188383	32963-sc-2012-11-09T12:23:49Z-1500319	ERX209798	ERR235293	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1042246	208449200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235293/ERR235293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235293/ERR235293_2.fastq.gz
PRJEB634	SAMEA1712411	ERS188384	32523-sc-2012-11-09T12:23:50Z-1500320	ERX209799	ERR235294	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2149418	429883600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235294/ERR235294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235294/ERR235294_2.fastq.gz
PRJEB634	SAMEA1712387	ERS188385	32633-sc-2012-11-09T12:23:51Z-1500321	ERX209800	ERR235295	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1756202	351240400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235295/ERR235295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235295/ERR235295_2.fastq.gz
PRJEB634	SAMEA1712310	ERS188387	32863-sc-2012-11-09T12:23:53Z-1500323	ERX209801	ERR235296	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1511455	302291000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235296/ERR235296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235296/ERR235296_2.fastq.gz
PRJEB634	SAMEA1712321	ERS188388	32853-sc-2012-11-09T12:23:54Z-1500324	ERX209802	ERR235297	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1840257	368051400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235297/ERR235297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235297/ERR235297_2.fastq.gz
PRJEB634	SAMEA1712337	ERS188389	33013-sc-2012-11-09T12:23:55Z-1500325	ERX209803	ERR235298	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	976359	195271800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235298/ERR235298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235298/ERR235298_2.fastq.gz
PRJEB634	SAMEA1712259	ERS188390	33033-sc-2012-11-09T12:23:56Z-1500326	ERX209804	ERR235299	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2215236	443047200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235299/ERR235299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235299/ERR235299_2.fastq.gz
PRJEB634	SAMEA1712232	ERS188391	33078-sc-2012-11-09T12:23:57Z-1500327	ERX209805	ERR235300	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	924767	184953400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235300/ERR235300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235300/ERR235300_2.fastq.gz
PRJEB634	SAMEA1712219	ERS188392	33393-sc-2012-11-09T12:23:58Z-1500328	ERX209806	ERR235301	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1516263	303252600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235301/ERR235301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235301/ERR235301_2.fastq.gz
PRJEB634	SAMEA1712507	ERS188393	33453-sc-2012-11-09T12:23:59Z-1500329	ERX209807	ERR235302	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	792285	158457000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235302/ERR235302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235302/ERR235302_2.fastq.gz
